taxon,P88..MPa.,P50..MPa.,P12..MPa.,Height.max..m.,SLA..cm2.g.1.,Huber.value,KL..kg.m.1.MPa.1.s.1.,Ks..kg.m.1.MPa.1.s.1.
Brachylaena_neriifolia,-2.319,-1.7999999999999998,-0.888,13.777933333333326,126.9513932451464,6.813851141666632e-4,0.9984130100382355,1.7881255817482737
Broussonetia_papyrifera,-1.6745557769314232,-0.51,-0.5097702551750879,15,24.311573248439,2.33630952300989,7.85e-4,3.36
Brunia_latebracteata,-9.583362586,-3.044756805,-0.537800223,7.22339,61.24567305972046,0.025608827753380983,0.013262525741999974,0.428591264
Brunia_noduliflora,-8.648644041288295,-5.534369531654998,-1.8507442574873254,6.582169999999994,44.939978836884336,0.0758744924155003,0.03480114401183353,0.309
Bursaria_incana,-3.957625073126848,-2.249633405598477,-0.6179785766673035,4,90.85027216193538,0.007123466714333338,0.007197931058118221,3.7692969477883214
Bursera_simaruba,-1.7999999999999998,-0.95,-0.25,30,113.24449871918355,4.1099999999999996e-5,4.02e-4,3.55
Buxus_sempervirens,-9.668441338468373,-8,-3.942452313004829,5,62.77852452889755,0.004352343181430559,0.02479538740638444,1.087124780534547
Byrsonima_crassa,-2.46,-0.9,-0.29,9.182166666666665,105.78051222401368,0.0608153711451505,7.376210621182071e-4,49
Byrsonima_crassifolia,-2.6544992137422425,-1.4470498060237151,-0.6133419875999421,7.235833333333334,116.54395184422478,8.3e-5,2.25e-4,2.1
Caesalpinia_eriostachys,-4.660732192612774,-4.125018442224689,-0.8806581086818471,9.0533,87.49739061433021,0.0203885642789999,3.014222037571458e-4,1.7
Callistemon_pallidus,-4.252207284925489,-2.746058191421455,-0.45103320642552663,5,66.03080692,1.56839e-4,5.09e-5,0.26
Callitris_rhomboidea,-11.5833797825,-8.9691666675,-6.51745355175,12.5,29.791387032800152,5.346257990952437e-4,7.7e-5,0.33
Calocedrus_decurrens,-10.44,-7.75,-4.92,69.8,31.996761850964635,0.13074460331599,8.63e-5,1.34
Calycanthus_floridus,-3.656,-2.112,-0.36,28.97,77.63720918136238,0.05692975082555324,8.804478056514104e-4,4.888313146674544
Calycophyllum_candidissimum,-4.3,-2.87,-1.2,12.792933333333332,121.49978388082612,9.5e-5,1.37e-4,1.11
Canarium_australianum,-2.6889383437452703,-1.4573112627699045,-0.3006740306324813,20,107.21268021101818,1.37288e-4,5.17318e-4,3.26
Canarium_caudatum,-2.8,-1.47,-0.14,22.146333333333338,105.93368734286169,0.02086968703076006,9.191294041999984e-4,8.635298374853651
Canella_winterana,-1.01,-0.232,-0.07,13.085133333333333,79.49656142428731,0.08596446083392414,0.26129026188982823,8.30172513106329
Capparis_aristiguetae,-6.05,-2.45,-0.541,9.849922727272729,92.45090848543529,2.1e-4,1.58e-5,0.105
Capparis_indica,-5.044405410055236,-2.6140219881153115,-1.1581147666823532,10.464369696969701,86.70852585390055,0.00232318707500001,0.0011298581373904827,0.9
Carapa_guianensis,-2.3,-0.8,-0.18,60,110.700305676293,3.04e-5,3.46e-5,5.216984427952813
Carissa_spinarum,-5.567137682910771,-4.403541353032545,-1.2174075556695503,2,78.50500517,2.64081e-4,8.26253e-4,2.38
Carpinus_betulus,-4.337088029,-3.74982,-3.162551971,25,60.80423449400276,0.3896540454013105,3.0539396133333276e-4,1.2391876694967272
Carpinus_orientalis,-8.05,-4.35,-0.64,10,56.97664232081436,0.2781211501731102,0.00955640167586666,2.6557916555484105
Carya_glabra,-3.093057695661102,-2.1,-0.9059967519012957,30,101.51538382637679,0.7353499908858667,4.3429259649047493e-4,2.902369365995205
Caryocar_brasiliense,-3.6425,-1.775,-0.39666666666666667,8.78320303030303,144,3.181885e-4,9.745e-4,3.2075
Cassinia_aculeata,-8.744369762277058,-4.644342134046413,-1.8080844694134142,3.6,111.683631,3.23793e-4,3.12346e-4,1
Cassipourea_guianensis,-6.6,-4.74,-1.4,15.755980666666671,72.19641752603175,0.003696051686821443,0.0011748126573333491,1.3
Ceanothus_crassifolius,-11.5524655495,-7.3066826579,-3.1862339484285713,3.7039999999999997,21.759511575,7.24817e-4,5.31e-4,0.90815
Ceanothus_cuneatus,-12.163733597142857,-6.9168563093749995,-2.182389308714286,3.37,38.2,0.14141894576866706,0.936653324,1.6094
Ceanothus_greggii,-9.5,-6,-3.1,9.254153272727242,28.14414593,8.07249e-4,4.88e-4,0.63
Ceanothus_leucodermis,-7.0089828236,-3.7441029155,-1.0455866018,4.11,83.3,0.06130257722174518,0.12457631752136665,5.469333333333333
Ceanothus_megacarpus,-11.158778326777778,-7.5196376431,-3.1470751267777777,3.683333333333333,36.889937106666665,2.8e-4,0.4345802305,2.460857142857143
Ceanothus_oliganthus,-7.555482880142858,-4.138828165875,-1.2062216791428573,6.13,98.44999999999999,0.06400580879789604,0.639048232,2.6189999999999998
Ceanothus_spinosus,-7.7351385467142855,-4.158393948375,-1.2656614161428572,4.62,65.44999999999999,0.07758289336520612,2.935349462,1.5973333333333333
Cedrus_atlantica,-5.220665746,-4.83327999992,-4.0529059717500004,42,58.66972962196878,4.04170008019246,2.52e-4,0.75175
Cedrus_deodara,-8.051653233333333,-6.4885,-5.142013433333333,46.666666666666664,56.65293960719658,2.111699914008998,0.021977447281523822,1.2
Cedrus_libani,-8.953377599251793,-7.736,-4.1322862695223606,45.792983333333275,68.64366795156032,2.155810140058837,4.12e-4,0.392
Celastrus_orbiculatus,-2.21,-0.04,-0.4020652047042648,10.227133333333333,104.91279190527369,0.010063482043687835,0.0020041176447848728,1.3960975625961682
Ceratonia_siliqua,-9.049259259,-5.7616666665,-7.197407407,10,93.4,0.07080009941316674,0.01584474255499994,1.8987725470051824
Cercidium_microphyllum,-3.75,-1.01,-0.475301412514132,8.406033333333333,71.85451175066339,0.02368874104599988,0.01695391903929994,0.894
Cercis_canadensis,-4.15,-1.71,-0.4,19.02653333333333,109.83046490814128,1.47186e-4,3.8e-5,1.74
Cercis_siliquastrum,-4.5379245875,-3.497,-2.8060754125000003,10,116.95752093369737,0.001136643131999999,1.8e-4,1.727617119932214
Cercocarpus_ledifolius,-8.07945545417122,-4.96,-3.0396964031861042,14.599407333333332,59.993331994676005,0.35379196095499055,0.0027642653513571436,6.93
