Species,scheme,dpsi,inst,source,genus,species,subsp,ID
Olea europaea var. Chemlali,PHYDRO,FALSE,TRUE,Ennajeh et al. (2008),Olea,europaea,Chemlali,1635
Olea europaea var. Meski,PHYDRO,FALSE,TRUE,Ennajeh et al. (2008),Olea,europaea,Meski,1634
Phlomis italica,PHYDRO,FALSE,TRUE,Galmes et al. (2007),Phlomis,italica,NA,1628
Picea abies,PHYDRO,FALSE,TRUE,Salmon et al. (2020),Picea,abies,NA,1609
Pinus sylvestris,PHYDRO,FALSE,TRUE,Salmon et al. (2020),Pinus,sylvestris,NA,1608
Pistacia lentiscus,PHYDRO,FALSE,TRUE,Galmes et al. (2007),Pistacia,lentiscus,NA,1623
Platycarya longipes,PHYDRO,FALSE,FALSE,Liu et al. (2010),Platycarya,longipes,NA,1617
Populus tremula,PHYDRO,FALSE,TRUE,Salmon et al. (2020),Populus,tremula,NA,1611
Pseudotsuga macrocarpa,PHYDRO,FALSE,TRUE,Grieu et al. (1988),Pseudotsuga,macrocarpa,NA,1601
Pseudotsuga menziesii,PHYDRO,FALSE,TRUE,Grieu et al. (1988),Pseudotsuga,menziesii,NA,1600
Pteroceltis tatarinowii,PHYDRO,FALSE,FALSE,Liu et al. (2010),Pteroceltis,tatarinowii,NA,1618
Pyracantha fortuneana,PHYDRO,FALSE,FALSE,Liu et al. (2010),Pyracantha,fortuneana,NA,1619
Quercus coccifera,PHYDRO,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,coccifera,NA,1605
Quercus ilex,PHYDRO,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,ilex,NA,1606
Quercus ilex,PHYDRO,FALSE,TRUE,Epron and Dreyer (1990),Quercus,ilex,NA,1614
Quercus petraea,PHYDRO,FALSE,TRUE,Epron and Dreyer (1990),Quercus,petraea,NA,1612
Quercus pubescens,PHYDRO,FALSE,TRUE,Epron and Dreyer (1990),Quercus,pubescens,NA,1613
Quercus suber,PHYDRO,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,suber,NA,1607
Rosa cymosa,PHYDRO,FALSE,FALSE,Liu et al. (2010),Rosa,cymosa,NA,1620
Allocasuarina luehmannii,PROFITMAX,FALSE,TRUE,Posch & Bennett (2009),Allocasuarina,luehmannii,NA,1598
Beta maritima subsp. marcosii,PROFITMAX,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,marcosii,1631
Beta maritima subsp. maritima,PROFITMAX,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,maritima,1632
Betula pendula,PROFITMAX,FALSE,TRUE,Salmon et al. (2020),Betula,pendula,NA,1610
Broussonetia papyrifera,PROFITMAX,FALSE,FALSE,Liu et al. (2010),Broussonetia,papyrifera,NA,1615
Cedrus atlantica,PROFITMAX,FALSE,TRUE,Grieu et al. (1988),Cedrus,atlantica,NA,1599
Cinnamomum bodinieri,PROFITMAX,FALSE,FALSE,Liu et al. (2010),Cinnamomum,bodinieri,NA,1616
Cistus albidus,PROFITMAX,FALSE,TRUE,Galmes et al. (2007),Cistus,albidus,NA,1624
Diplotaxis ibicensis,PROFITMAX,FALSE,TRUE,Galmes et al. (2007),Diplotaxis,ibicensis,NA,1630
Eucalyptus pilularis,PROFITMAX,FALSE,TRUE,Kelly et al. (2016),Eucalyptus,pilularis,NA,1602
Eucalyptus populnea,PROFITMAX,FALSE,TRUE,Kelly et al. (2016),Eucalyptus,populnea,NA,1603
